atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria
130608,Riquelme Fillipi,PAL,Atacante,6,0.71,0.0,-0.3,1,0.0,False,True,SAN,1.885,valor_oculto,0.6,0.0,0.125,70.7,favoravel,0.11,0.9,83.3,0.678,0.52,1.156,0.99,0.9,0.613
147202,João Bezerra,INT,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,FLU,0.757,valor_bom,0.0,0.0,0.0,49.7,neutro,0.0,0.525,-20.6,1.083,0.929,1.064,1.04,0.45,0.419
141615,Pedro Ferreira,SAO,Meia,6,1.04,0.0,0.5,1,0.0,False,True,BAH,1.894,valor_oculto,1.012,0.5,0.125,55.2,neutro,0.14,0.45,16.6,1.071,1.418,1.129,1.2,0.5,0.446
101729,Fabinho,CFC,Atacante,5,1.51,0.0,-0.03,6,0.0,False,False,VIT,0.446,neutro,0.394,0.0,0.75,35.4,desfavoravel,0.21,0.05,-19.8,1.04,1.0,0.8,0.988,0.475,0.312
104134,Fabri,VIT,Atacante,6,4.98,-0.59,2.72,6,-0.3,True,True,CFC,-0.306,neutro,2.318,1.89,0.75,46.2,neutro,1.61,0.375,19.8,0.8,0.988,1.04,1.0,0.4,0.442
124270,Allex,INT,Meia,2,2.53,-0.13,2.4,3,1.2,True,True,FLU,0.59,valor_bom,1.437,2.4,0.375,50.2,neutro,0.54,0.525,-20.6,1.083,0.929,1.064,1.04,0.45,0.419
145036,Fernando Pradella,SAN,Atacante,6,0.82,0.0,0.0,1,0.0,False,False,PAL,1.722,valor_oculto,0.634,0.0,0.125,34.0,desfavoravel,0.05,0.225,-83.3,1.156,0.99,0.678,0.52,0.45,0.269
130906,Riquelme,CAP,Meia,6,0.71,0.0,-0.3,1,0.0,False,True,GRE,2.368,valor_oculto,0.923,0.0,0.125,55.4,neutro,0.13,0.6,76.2,0.78,1.213,0.347,0.65,0.5,0.495
129666,JP,VAS,Meia,6,1.41,0.0,0.95,2,0.0,False,False,FLA,1.395,valor_bom,1.051,0.95,0.25,29.1,desfavoravel,0.15,0.1,-70.0,0.722,0.821,1.1,1.2,0.4,0.256
118844,Kaio César,COR,Atacante,6,9.89,0.0,5.15,2,0.0,False,False,MIR,0.454,neutro,4.868,2.65,0.25,54.1,neutro,1.32,0.85,11.1,0.578,0.945,0.923,1.067,0.525,0.279
