atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,prob_vitoria,prob_gols
70449,Gabriel,VIT,Goleiro,6,5.02,0.0,0.9,3,0.0,False,True,BAH,-0.641,armadilha_leve,2.125,0.0,0.375,0.377,0.479
106708,Igor Formiga,MIR,Lateral,7,7.21,-0.29,4.57,17,0.9,True,False,SAN,0.602,valor_bom,4.772,3.51,1.0,0.477,0.5
89256,Gerson,CRU,Meia,7,8.39,0.16,4.24,20,2.8,True,True,FLA,0.489,neutro,4.197,3.74,1.0,0.311,0.469
69208,Gabriel Paulista,COR,Zagueiro,7,8.7,-0.64,4.38,17,1.5,True,False,CFC,0.373,neutro,4.243,2.79,1.0,0.211,0.384
105157,Villagra,INT,Meia,7,4.95,-0.25,1.98,17,0.9,True,True,CAM,-0.677,armadilha_leve,1.999,1.98,1.0,0.442,0.479
103388,Emmanuel Martínez,VIT,Meia,7,6.52,-0.18,3.38,16,4.7,True,True,BAH,0.521,valor_bom,3.616,3.38,1.0,0.377,0.479
123689,Milans,COR,Lateral,6,8.55,0.0,5.28,5,0.0,False,False,CFC,0.578,valor_bom,5.232,3.48,0.625,0.211,0.384
95362,Cassierra,CAM,Atacante,2,5.64,0.33,2.25,18,3.2,True,False,INT,-1.279,armadilha_leve,2.297,1.08,1.0,0.174,0.479
146374,Gilberto Junior,CAP,Lateral,6,6.14,0.0,4.62,6,0.0,False,False,BOT,0.176,neutro,3.969,3.62,0.75,0.281,0.461
71536,Luiz Gustavo,CAP,Meia,7,6.2,-0.51,3.65,15,2.7,True,False,BOT,0.896,valor_bom,3.803,2.98,1.0,0.281,0.461
86859,José Welison,REM,Meia,7,3.87,0.3,2.66,19,3.9,True,False,FLU,0.581,valor_bom,2.477,2.66,1.0,0.313,0.527
142265,Dell,BAH,Atacante,6,1.82,0.0,0.65,4,0.0,False,False,VIT,0.257,neutro,0.841,0.65,0.5,0.239,0.479
110633,Gustavo,CFC,Meia,6,3.3,0.0,0.9,4,0.0,False,True,COR,-0.857,armadilha_leve,0.965,0.9,0.5,0.307,0.384
90370,Matheus Pereira,COR,Meia,6,3.39,-0.21,1.07,14,1.5,True,False,CFC,-0.364,neutro,1.423,1.07,1.0,0.211,0.384
130233,Iuri,BAH,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,VIT,0.281,neutro,0.0,0.0,0.0,0.239,0.479
107859,Fintelman,VIT,Goleiro,6,2.0,0.0,0.0,0,0.0,False,True,BAH,-0.796,armadilha_leve,0.0,0.0,0.0,0.377,0.479
68952,Marinho,VIT,Atacante,6,4.88,-0.39,2.03,8,1.8,True,True,BAH,-0.896,armadilha_leve,2.217,2.03,1.0,0.377,0.479
105842,Edu,VIT,Zagueiro,5,4.13,0.0,1.5,1,0.0,False,True,BAH,-1.109,armadilha_leve,1.371,1.5,0.125,0.377,0.479
113125,Picco,REM,Meia,7,6.24,-0.1,3.52,20,1.5,True,False,FLU,0.73,valor_bom,3.683,3.02,1.0,0.313,0.527
110598,Marino Hinestroza,VAS,Atacante,6,5.43,-0.2,1.75,10,1.0,True,False,PAL,-1.485,armadilha_leve,2.041,1.75,1.0,0.351,0.504
140496,Tiaguinho,GRE,Meia,6,0.93,0.0,0.0,1,0.0,False,False,RBB,1.733,valor_oculto,0.886,0.0,0.125,0.145,0.504
