atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
109114,Matheus Nascimento,GRE,Atacante,6,4.0,0.0,0.0,0,0.0,False,False,CAM,-2.643,armadilha_forte,0.0,0.0,0.0,64.3,neutro,1.52,0.95,-46.0,1.4,1.4,0.933,0.778,0.525,0.0,0.467
103562,Guido Herrera,BAH,Goleiro,6,6.0,0.0,0.0,0,0.0,False,False,CHA,-3.033,armadilha_forte,0.0,0.0,0.0,74.9,neutro,1.96,0.75,26.7,0.607,0.352,0.63,1.074,0.55,0.0,
99034,Elias,MIR,Lateral,6,3.41,0.41,1.8,1,1.8,True,True,FLA,-0.446,neutro,1.882,1.8,0.125,37.8,neutro,1.73,0.05,-9.1,1.05,0.98,1.185,0.467,0.5,0.229,0.467
113558,Bruninho,RBB,Meia,5,4.0,0.0,0.0,0,0.0,False,False,CAP,-2.628,armadilha_forte,0.0,0.0,0.0,25.0,desfavoravel,-0.1,0.05,-32.1,1.131,0.764,1.027,0.232,0.475,0.0,0.434
122121,Túlio Eduardo,CHA,Atacante,7,6.35,3.35,9.4,1,9.4,True,True,BAH,2.18,valor_oculto,5.362,1.4,0.125,30.2,neutro,3.74,0.475,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
101352,Bruno Matias,CHA,Meia,6,3.21,0.99,1.23,3,4.5,True,True,BAH,-0.676,armadilha_leve,1.081,1.23,0.375,27.1,neutro,0.84,0.475,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
151404,Lucas Emanuel,BOT,Atacante,6,1.45,0.45,1.4,1,1.4,True,False,VIT,0.8,valor_bom,0.793,1.4,0.125,31.6,desfavoravel,0.76,0.1,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
126996,Paulinho,VAS,Lateral,6,4.0,0.0,0.0,0,0.0,False,True,SAN,-3.204,armadilha_forte,0.0,0.0,0.0,64.8,neutro,1.54,0.15,36.7,0.183,0.813,1.159,1.2,0.275,0.475,0.47
103967,Bruno Santos,MIR,Atacante,7,3.32,-0.04,0.6,3,1.4,True,True,FLA,-1.335,armadilha_leve,0.685,0.6,0.375,35.0,neutro,1.01,0.1,-9.1,1.05,0.98,1.185,0.467,0.5,0.229,0.467
91204,Warleson,BOT,Goleiro,7,6.32,0.19,7.45,2,3.9,True,False,VIT,1.343,valor_bom,4.794,4.95,0.25,49.1,neutro,3.97,0.45,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
132553,Jemmes,FLU,Zagueiro,6,6.82,-0.56,3.62,15,3.5,True,True,PAL,0.504,valor_bom,3.73,2.69,1.0,50.4,neutro,2.91,0.0,0.0,0.568,0.677,1.042,0.825,0.5,0.347,
91130,Fernandinho,MIR,Atacante,7,4.94,0.83,4.15,2,4.8,True,True,FLA,-0.231,neutro,2.619,4.15,0.25,35.0,neutro,2.1,0.1,-9.1,1.05,0.98,1.185,0.467,0.5,0.229,0.467
98333,Gabriel Batista,BOT,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,VIT,-1.559,armadilha_forte,0.0,0.0,0.0,49.1,neutro,0.89,0.45,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
97450,Gustavo Mosquito,MIR,Atacante,6,4.99,0.0,1.65,2,0.0,False,True,FLA,-0.838,armadilha_leve,2.119,1.65,0.25,35.0,neutro,2.45,0.1,-9.1,1.05,0.98,1.185,0.467,0.5,0.229,0.467
151405,Victor Hugo,BOT,Meia,6,1.0,0.0,0.0,0,0.0,False,False,VIT,0.535,valor_bom,0.0,0.0,0.0,28.5,desfavoravel,0.04,0.1,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
124483,Lucas Monzón,BOT,Zagueiro,6,4.0,0.0,0.0,0,0.0,False,False,VIT,-2.545,armadilha_forte,0.0,0.0,0.0,49.3,neutro,0.9,0.45,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
122321,Lorran,FLA,Meia,6,8.0,-1.16,5.93,3,-0.7,True,False,MIR,1.092,valor_bom,4.574,4.26,0.375,65.4,neutro,4.25,0.675,9.1,1.185,0.467,1.05,0.98,0.775,0.0,0.467
91626,Paulinho,BOT,Lateral,6,4.4,-0.6,-0.3,1,-0.3,True,False,VIT,0.113,neutro,2.992,0.0,0.125,48.7,neutro,2.89,0.45,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
146833,Cléber Lucas,BOT,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,VIT,0.266,neutro,0.0,0.0,0.0,49.1,neutro,0.89,0.45,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
151406,Herick,BOT,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,VIT,0.309,neutro,0.0,0.0,0.0,49.3,neutro,0.9,0.45,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
118806,Buta,SAO,Lateral,6,5.0,0.0,0.0,0,0.0,False,True,CFC,-3.908,armadilha_forte,0.0,0.0,0.0,59.9,neutro,1.34,0.2,17.5,0.646,1.176,0.489,1.214,0.175,0.561,0.481
141339,Paulo Roberto,CFC,Atacante,6,3.54,0.0,4.1,2,0.0,False,False,SAO,0.71,valor_bom,2.609,0.1,0.25,36.0,desfavoravel,2.13,0.3,-17.5,0.489,1.214,0.646,1.176,0.4,0.0,0.481
106593,Villalba,CRU,Zagueiro,6,7.01,-0.01,2.69,11,4.7,True,False,COR,-0.185,neutro,3.214,1.42,1.0,39.4,desfavoravel,2.45,0.95,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
115247,Kaique,PAL,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.266,neutro,0.0,0.0,0.0,54.5,neutro,1.12,0.225,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
131762,Isac,SAO,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,CFC,0.309,neutro,0.0,0.0,0.0,60.5,favoravel,1.37,0.2,17.5,0.646,1.176,0.489,1.214,0.175,0.561,0.481
151412,Kássio,CHA,Atacante,6,1.49,0.0,1.5,1,0.0,False,True,BAH,0.755,valor_bom,0.804,1.5,0.125,30.2,neutro,0.71,0.475,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
144424,Vitor Lamounier,CRU,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,COR,-0.802,armadilha_leve,0.0,0.0,0.0,39.0,desfavoravel,0.48,0.95,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
146624,Heittor,PAL,Atacante,6,1.17,0.0,0.55,2,0.0,False,False,FLU,1.104,valor_bom,0.684,0.55,0.25,51.0,neutro,1.51,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
93637,Bruno Tubarão,CHA,Lateral,7,3.17,0.0,1.1,1,0.0,False,True,BAH,-0.323,neutro,1.805,1.1,0.125,36.3,neutro,2.27,0.25,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
109097,Jovane Cabral,GRE,Atacante,6,8.34,-0.32,4.35,2,2.9,True,False,CAM,0.632,valor_bom,4.756,1.85,0.25,64.3,neutro,4.76,0.95,-46.0,1.4,1.4,0.933,0.778,0.525,0.0,0.467
151440,Gutte,CAM,Meia,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.535,valor_bom,0.0,0.0,0.0,68.4,favoravel,1.69,0.475,46.0,0.933,0.778,1.4,1.4,0.65,0.519,0.467
151436,Miguel Bilong,PAL,Atacante,6,2.0,0.0,0.0,0,0.0,False,False,FLU,-0.833,armadilha_leve,0.0,0.0,0.0,51.0,neutro,0.97,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
