atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FS,scout_SG,scout_FC,scout_DS,scout_G,scout_FF,scout_FD,scout_A,scout_CA,scout_I,scout_DE,scout_V,scout_GS
95362,Cassierra,CAM,Atacante,0.3,True,1.0,,,,,,,,,2.0,,,
95799,Artur,SAO,Atacante,0.0,True,,,,,,,,,,,,,
96591,Renan Lodi,CAM,Lateral,10.8,True,1.0,1.0,,3.0,,1.0,,,,,,,
97095,Carlos Cuesta,VAS,Zagueiro,1.2,True,,,1.0,1.0,,,,,,,,,
97321,Alesson,MIR,Atacante,3.7,True,,,,2.0,,1.0,,,,1.0,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,,,
97460,João Victor,MIR,Zagueiro,0.0,True,,,,,,,,,,,,,
97899,Matheus Bahia,INT,Lateral,6.7,True,1.0,1.0,1.0,1.0,,,,,,,,,
98672,Savarino,FLU,Meia,0.0,True,,,,,,,,,,,,,
98909,Cuello,CAM,Atacante,1.2,True,,,1.0,1.0,,,,,,,,,
99213,Puma Rodríguez,VAS,Lateral,0.0,True,,,,,,,,,,,,,
99366,Luis Zubeldía,FLU,Técnico,2.44,True,,,,,,,,,,,,,
99789,Brenner,VAS,Atacante,0.5,True,1.0,,,,,,,,,,,,
