nome,clube,clube_id,posicao,status_id,status_label,preco,min_valorizar,media,media_bayesiana,variacao,jogos,pb_media,resiliencia_pct,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z,score_confronto_100
Bruno Leonardo,CHA,315,Zagueiro,7,Provável,3.39,9.5,1.87,2.524,0.52,7,1.44,0.77,0.875,0.651,5,True,VIT,alta,1.02,valor_bom,,,,,,,,,,,0.0,50.0
Eduardo Doma,CHA,315,Zagueiro,7,Provável,5.42,12.5,3.8,3.448,1.25,8,2.67,0.703,1.0,0.636,6,True,VIT,alta,1.074,valor_bom,,,,,,,,,,,0.0,50.0
Camilo,CHA,315,Meia,7,Provável,4.32,9.9,2.5,2.647,-0.54,7,2.5,1.0,0.875,0.536,13,True,VIT,baixa,0.67,valor_bom,,,,,,,,,,,0.0,50.0
Ênio,CHA,315,Atacante,7,Provável,4.02,9.2,1.0,2.996,0.02,1,1.0,1.0,0.125,0.093,135,True,VIT,estavel,0.789,valor_bom,,,,,,,,,,,0.0,50.0
Everton,CHA,315,Lateral,7,Provável,4.03,9.3,2.74,3.553,0.0,7,1.6,0.584,0.875,0.771,2,True,VIT,estavel,0.75,valor_bom,,,,,,,,,,,0.0,50.0
João Vitor,CHA,315,Meia,7,Provável,3.11,8.7,1.85,2.467,0.0,4,1.85,1.0,0.5,0.397,66,True,VIT,estavel,0.844,valor_bom,,,,,,,,,,,0.0,50.0
Arthur Dias,CAP,293,Zagueiro,7,Provável,6.28,14.4,3.87,3.428,0.0,6,2.87,0.742,0.75,0.409,28,False,CAM,estavel,0.718,valor_bom,,,,,,,,,,,0.0,50.0
Rossi,FLA,262,Goleiro,7,Provável,7.75,17.8,4.07,3.984,-0.35,7,1.93,0.474,0.875,0.45,14,True,SAN,estavel,0.298,neutro,,,,,,,,,,,0.0,50.0
Ítalo,CHA,315,Atacante,7,Provável,2.78,7.8,2.01,2.628,-0.46,8,2.01,1.0,1.0,0.945,2,True,VIT,estavel,0.791,valor_bom,,,,,,,,,,,0.0,50.0
Bernabei,INT,285,Lateral,7,Provável,7.86,18.1,3.84,4.052,-1.24,8,3.46,0.901,1.0,0.516,16,False,COR,baixa,-0.124,neutro,,,,,,,,,,,0.0,50.0
Everton Ribeiro,BAH,265,Meia,7,Provável,8.93,17.9,4.7,3.417,-1.52,4,3.45,0.734,0.5,0.191,155,True,PAL,baixa,0.092,neutro,,,,,,,,,,,0.0,50.0
