atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_DS,scout_FC,scout_I,scout_FS,scout_SG,scout_CA,scout_FD,scout_FF,scout_PP,scout_G,scout_DE,scout_GS,scout_A,scout_GC,scout_PC,scout_FT,scout_V,scout_CV,scout_DP,scout_PS
80129,Jadson,293,CAP,4,,,,2.0,,,,,,,,,,,,,,,,,,,
80196,Yago Pikachu,364,REM,4,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,1.0
80287,Luciano,276,SAO,5,,,,,3.0,,,,,,,,,,,,,,,,,,
80570,Wendell,276,SAO,2,,,,,4.0,,1.0,,1.0,,,,,,,,,,,,,,
81005,André Luis,2305,MIR,5,,,,,,,,,,,1.0,,,,,,,,,,,,
81720,Lingard,264,COR,5,,,,,4.0,,,,1.0,,,,,,,,,,,,,,
81845,Alisson,266,FLU,4,,,,,,,,,,,,,,,,,,,,,,,
82455,Zé Rafael,277,SAN,4,,,,,,,1.0,,,,,,,,,,,,,,,,
82463,Otávio,266,FLU,4,,,,,,,,,,,,,,,,,,,,,,,
82627,Luiz Araújo,262,FLA,5,,,,2.0,,,,,,,,,,,,,,,,,,,
82628,Tinga,294,CFC,2,,,,,,,,,,,,,,,,,,,,,,,
82730,Marcelo Rangel,364,REM,1,,,,,,,,1.0,,,,,,3.0,,,,,,,,,
82775,Lucas Ramon,276,SAO,2,,,,,,,1.0,,,,,,,,,,,,,,,,
83257,Gabriel,277,SAN,5,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
83263,Yuri Lara,2305,MIR,4,,,,1.0,,,,,,,,,,,,,,,,,,,
83433,Patrick,364,REM,4,,,,4.0,,,1.0,,,,1.0,,,,,,,,,,,,
83528,Léo Pereira,262,FLA,3,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
84042,Tiquinho Soares,2305,MIR,5,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,
84339,Bruno Melo,294,CFC,2,,,,4.0,1.0,,3.0,,,,,,,,,,,,,,,,
84626,Josué,294,CFC,4,,,,,,,3.0,,,,,,,,,1.0,,,,,,,
84674,Lucas Evangelista,275,PAL,4,,,,1.0,,,2.0,,,,,,,,,,,,,,,,
84735,Jorginho,262,FLA,4,,,,1.0,,,3.0,,,,,,1.0,,,,,,,,,,
84816,Varela,262,FLA,2,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,
84847,Luan Peres,277,SAN,3,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
86292,Bolasie,315,CHA,5,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,
86686,Tchê Tchê,267,VAS,4,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
87008,Léo Jardim,267,VAS,1,,,,,,,,,,,,,,6.0,2.0,,,,,,,,
87225,Pedro Henrique,280,RBB,3,,,,,,,,1.0,,,,,,,,,,,,,,,
87228,Guilherme Arana,266,FLU,2,,,,2.0,,,,,,1.0,,,,,,,,,,,,,
87258,Soteldo,266,FLU,5,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,
87470,Thaciano,277,SAN,4,,,,2.0,,,,,,,2.0,,,,,,,,,,,,
87863,Arrascaeta,262,FLA,4,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
87999,Gustavo Scarpa,282,CAM,4,,,,,,,,,,,,,1.0,,,,,,,,,,
88037,Luís Castro,284,GRE,6,,,,,,,,,,,,,,,,,,,,,,,
88293,Neto Pessoa,315,CHA,5,,,,,,,,,,,,,1.0,,,,,,,,,,
88393,Ayrton Lucas,262,FLA,2,,,,,,,,,,1.0,,,,,,,,,,,,,
88717,Celso Rodrigues,315,CHA,6,,,,,,,,,,,,,,,,,,,,,,,
88963,Leonardo Jardim,262,FLA,6,,,,,,,,,,,,,,,,,,,,1.0,,,
89256,Gerson,283,CRU,4,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
89274,Andreas Pereira,275,PAL,4,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,
89275,William,283,CRU,2,,,,,,,,,,2.0,,,,,,,,,,,,,
89368,Braithwaite,284,GRE,5,,,,1.0,,,,,,,,,,,,,,,,,,,
89637,Thiago Maia,285,INT,4,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
89840,Calleri,276,SAO,5,,,,,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,
89883,Dodi,284,GRE,4,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
90031,Mendoza,293,CAP,5,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
90061,Bruno Pacheco,315,CHA,2,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
90285,Bruno Henrique,262,FLA,5,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,
90302,Pedro Rocha,294,CFC,5,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
90309,David,267,VAS,5,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,
90370,Matheus Pereira,264,COR,4,,,,,1.0,,,,,,,,,,,,,,,,,,
90532,Arthur Melo,284,GRE,4,,,,,,,,,1.0,,,,,,,,,,,,,,
90588,Caíque,287,VIT,4,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,
90608,Chico da Costa,283,CRU,5,,,,,,,,,,,1.0,,,,,,,,,,,,
90703,Matheuzinho,287,VIT,4,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0
90768,Fabrício Bruno,283,CRU,3,,,,,,,,,,,,,,,,,,,,,,,
90917,Carlos Eduardo,2305,MIR,5,,,,,1.0,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,
91772,David Duarte,265,BAH,3,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,
91866,Zé Ivaldo,277,SAN,3,,,,,1.0,,,,,,,,,,,,,,,,,,
91908,Pavón,284,GRE,5,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,
