atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_CA,scout_DE,scout_FS,scout_GS,scout_PC,scout_SG,scout_V,scout_DS,scout_FC,scout_FD,scout_G,scout_I,scout_FF,scout_A,scout_PS,scout_GC,scout_CV,scout_FT,scout_PP,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label,time_pos,adv_pos,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,sequencia_time,forma_score_time,vantagem_mando,oportunidade_confronto,score_confronto,score_confronto_z,score_confronto_100,condicao_mando,pontos_esperados,caro_e_vale,recomendacao
101727,Matheuzinho,264,COR,2,Lateral,7,10.63,0.19,6.11,22,6.0,True,4.0,,16.0,,,7.0,,53.0,24.0,4.0,1.0,4.0,9.0,2.0,,1.0,1.0,,,,False,INT,0.261,,estavel,6.0,4.43,0.725,1.0,5.856,0.442,neutro,0.551,51,Provável,14.0,18.0,0.772,1.75,1.12,1.244,-6.0,0.0,2.6,0.9,0.5281,0.015,50.2,neutro,4.08,False,TITULAR
100898,Vitinho,263,BOT,2,Lateral,7,9.03,-0.97,4.86,22,3.1,True,3.0,,17.0,,,3.0,,47.0,24.0,,1.0,2.0,3.0,2.0,,,,1.0,,,True,VAS,0.373,,baixa,3.1,3.72,0.765,1.0,4.939,-0.094,neutro,0.547,56,Provável,12.0,16.0,0.546,0.996,1.747,0.922,-1.0,0.425,29.5,0.575,0.5387,0.095,51.4,neutro,4.03,False,TITULAR
96591,Renan Lodi,282,CAM,2,Lateral,7,9.29,-0.46,4.98,23,0.5,True,4.0,,50.0,,,6.0,,26.0,37.0,6.0,0.0,6.0,16.0,3.0,1.0,,1.0,1.0,,,False,CAP,0.247,,estavel,0.5,3.55,0.713,1.0,5.026,-0.091,neutro,0.541,60,Provável,7.0,3.0,0.9,0.844,1.563,2.1,2.0,0.6,-40.5,0.05,0.2568,-2.047,19.3,desfavoravel,3.7,False,TITULAR
61987,Alex Sandro,262,FLA,2,Lateral,7,7.71,-0.18,3.13,17,0.3,True,4.0,,15.0,,,6.0,,17.0,22.0,,0.0,1.0,1.0,0.0,,,,,,,False,SAN,0.506,,estavel,0.3,2.07,0.661,1.0,3.779,-0.964,armadilha_leve,0.49,70,Provável,1.0,8.0,1.018,0.487,1.185,0.675,5.0,1.0,11.9,0.6,0.6498,0.94,64.1,neutro,3.19,False,WATCH
99274,Alexander Barboza,275,PAL,3,Zagueiro,7,10.36,0.03,5.3,17,6.7,True,6.0,,2.0,,,5.0,,37.0,30.0,5.0,1.0,,7.0,2.0,,,2.0,,,,True,BAH,0.593,,estavel,6.7,3.48,0.657,1.0,4.917,0.523,valor_bom,0.475,53,Provável,2.0,5.0,0.834,0.533,1.433,1.12,5.0,0.675,24.5,0.15,0.5031,-0.127,48.1,neutro,4.28,False,TITULAR
90768,Fabrício Bruno,283,CRU,3,Zagueiro,2,5.48,0.23,1.81,24,0.0,True,8.0,,6.0,,1.0,4.0,,19.0,14.0,4.0,0.0,,4.0,0.0,,1.0,,,,,True,SAO,0.486,,estavel,1.8,1.31,0.724,1.0,2.04,-1.195,armadilha_leve,0.372,70,Dúvida,6.0,11.0,1.333,1.12,0.844,0.72,1.0,0.6,38.1,0.825,0.7459,1.714,75.7,neutro,2.63,False,WATCH
37656,Fábio,266,FLU,1,Goleiro,7,9.43,0.22,4.59,27,6.8,True,1.0,103.0,7.0,35.0,2.0,5.0,,,,,0.0,,,0.0,,,,,,,True,CFC,0.623,,estavel,6.8,3.66,0.797,1.0,4.542,-0.129,neutro,0.482,25,Provável,4.0,9.0,1.273,1.244,1.362,1.693,1.0,0.675,33.4,0.3,0.5413,0.172,52.6,neutro,4.23,False,TITULAR
97810,Erick,287,VIT,5,Atacante,7,8.14,-0.04,4.18,23,5.4,True,2.0,,43.0,,,0.0,,6.0,12.0,8.0,3.0,2.0,11.0,5.0,1.0,,,1.0,,,True,CHA,0.55,,estavel,5.4,2.05,0.49,1.0,4.389,0.002,neutro,0.539,59,Provável,13.0,20.0,1.0,1.2,1.117,0.713,-1.0,0.325,50.0,0.75,0.6079,0.952,64.3,favoravel,3.66,False,WATCH
80196,Yago Pikachu,364,REM,4,Meia,7,5.34,0.62,2.41,27,5.5,True,2.0,,22.0,,,0.0,,13.0,11.0,6.0,3.0,1.0,6.0,2.0,1.0,,1.0,,1.0,,True,GRE,0.432,,alta,5.5,1.48,0.614,1.0,2.795,-0.087,neutro,0.523,67,Provável,19.0,17.0,0.875,1.191,1.12,1.032,-5.0,0.0,23.8,0.525,0.4542,-0.39,44.2,neutro,3.59,False,TITULAR
91101,Ronaldo,265,BAH,1,Goleiro,7,8.01,0.5,5.03,18,5.8,True,2.0,59.0,1.0,16.0,,6.0,,1.0,,,0.0,,,0.0,,,,,,,False,PAL,0.18,,estavel,5.8,3.36,0.668,1.0,4.83,0.531,valor_bom,0.603,10,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.125,0.3741,-1.08,33.8,desfavoravel,4.6,False,TITULAR
