atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_DS,scout_I,scout_CA,scout_DE,scout_FS,scout_GS,scout_PC,scout_SG,scout_FC,scout_A,scout_FD,scout_FF,scout_V,scout_G,scout_GC,scout_FT,scout_PP,scout_PS,scout_CV,scout_DP
124526,Giay,275,PAL,2,Lateral,6,7.37,0.66,4.65,19,7.0,True,31.0,1.0,3.0,,27.0,,,7.0,21.0,,1.0,2.0,,,,,,,,
141451,Allan,275,PAL,4,Meia,6,13.04,0.79,6.04,21,10.4,True,38.0,2.0,3.0,,36.0,,,,26.0,3.0,10.0,5.0,,4.0,,1.0,,,1.0,
87742,Neto Moura,2305,MIR,4,Meia,7,3.51,0.28,1.53,13,2.5,True,12.0,,5.0,,5.0,,,,12.0,,2.0,7.0,,,,,,,,
112863,Ramón Sosa,275,PAL,5,Atacante,5,5.87,0.0,3.31,19,0.0,False,4.0,9.0,3.0,,22.0,,,,18.0,2.0,3.0,8.0,,4.0,,1.0,,,,
97321,Alesson,2305,MIR,5,Atacante,2,7.96,-0.1,4.56,19,1.7,True,28.0,9.0,1.0,,26.0,,,,15.0,3.0,12.0,7.0,,,,1.0,,,,
111832,Jefté,275,PAL,2,Lateral,5,4.16,0.0,2.47,7,0.0,False,3.0,2.0,1.0,,1.0,,,2.0,5.0,1.0,,,,,,,,,,
72279,Thomazella,2305,MIR,1,Goleiro,6,0.83,0.0,-1.35,2,0.0,False,,,,1.0,,4.0,,,,,,,,,,,,,,
136156,Larson,275,PAL,4,Meia,6,2.1,0.0,0.48,4,0.0,False,,,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,
97460,João Victor,2305,MIR,3,Zagueiro,7,4.56,-1.08,2.72,21,0.0,True,21.0,2.0,1.0,,6.0,,,1.0,11.0,1.0,2.0,2.0,,2.0,1.0,,,,,
82775,Lucas Ramon,276,SAO,2,Lateral,7,9.5,0.12,4.84,17,1.8,True,32.0,1.0,2.0,,25.0,,,3.0,15.0,1.0,3.0,6.0,,,,1.0,,,1.0,
133679,Benedetti,275,PAL,3,Zagueiro,6,5.42,0.0,4.85,2,0.0,False,,,,,,,,2.0,1.0,,,,,,,,,,,
101708,Felipe Jonatan,294,CFC,2,Lateral,6,4.54,0.0,2.38,15,0.0,False,10.0,1.0,,,6.0,,,3.0,4.0,,2.0,2.0,,,,,,,,
104027,Rafael Guanaes,2305,MIR,6,Técnico,7,7.02,0.05,4.1,21,4.01,True,,,,,,,,,,,,,5.0,,,,,,,
79066,Alex Muralha,2305,MIR,1,Goleiro,6,2.64,0.0,-1.0,0,0.0,False,,,1.0,,,,,,,,,,,,,,,,,
83257,Gabriel,277,SAN,5,Atacante,7,8.26,-1.3,4.77,15,0.8,True,4.0,8.0,4.0,,6.0,,,,6.0,2.0,1.0,16.0,,6.0,,,,,1.0,
90917,Carlos Eduardo,2305,MIR,5,Atacante,6,4.75,-0.22,2.92,13,1.2,True,9.0,5.0,1.0,,13.0,,,,9.0,1.0,2.0,7.0,,1.0,,,,1.0,,
81005,André Luis,2305,MIR,5,Atacante,6,3.05,0.0,1.02,11,0.0,False,,1.0,2.0,,11.0,,,,6.0,,,2.0,,1.0,,,,,,
104204,Edson Carioca,2305,MIR,5,Atacante,5,4.14,0.0,2.11,14,0.0,False,12.0,1.0,4.0,,7.0,,,,15.0,,2.0,8.0,,1.0,,,,,,
78478,Willian Arão,277,SAN,4,Meia,7,5.92,-0.65,3.39,16,4.2,True,28.0,1.0,1.0,,4.0,,,,5.0,,1.0,1.0,,1.0,,1.0,,,,
97520,Shaylon,2305,MIR,4,Meia,6,3.48,0.0,1.63,15,0.0,False,11.0,,1.0,,2.0,,,,14.0,,2.0,2.0,,1.0,,,,,,
84847,Luan Peres,277,SAN,3,Zagueiro,7,5.63,-0.48,3.1,16,8.2,True,15.0,,2.0,,15.0,,,4.0,17.0,,,2.0,,1.0,,,,,1.0,
77777,João Schmidt,277,SAN,4,Meia,3,4.18,-0.63,1.9,12,0.4,True,17.0,,2.0,,4.0,,,,17.0,,,3.0,,,,,,,,
98384,Negueba,2305,MIR,5,Atacante,5,8.57,0.0,5.23,8,0.0,False,15.0,,4.0,,17.0,,,,5.0,,3.0,6.0,,1.0,,,,,,
102256,Rollheiser,277,SAN,4,Meia,6,5.35,-0.57,2.61,17,1.6,True,4.0,1.0,1.0,,6.0,,,,10.0,1.0,4.0,7.0,,3.0,,,,,,
73318,Daniel Borges,2305,MIR,2,Lateral,6,5.75,0.0,4.04,5,0.0,False,6.0,,,,7.0,,,1.0,3.0,,1.0,3.0,,,,,,,,
105903,Aldo Filho,2305,MIR,4,Meia,5,3.8,0.0,2.09,15,0.0,False,18.0,1.0,7.0,,8.0,,,,20.0,1.0,3.0,6.0,,,,,,,,
108469,Adonis Frías,277,SAN,3,Zagueiro,6,5.64,0.0,3.4,8,0.0,False,9.0,,2.0,,5.0,,,1.0,6.0,,1.0,1.0,,1.0,,,,,,
141754,Gabriel Bontempo,277,SAN,4,Meia,6,5.4,0.02,3.74,18,4.5,True,29.0,,2.0,,22.0,,,,7.0,2.0,1.0,6.0,,,,,,1.0,,
117403,Renato Marques,294,CFC,5,Atacante,6,2.73,0.0,0.74,7,0.0,False,,,,,5.0,,,,3.0,,1.0,3.0,,,,1.0,,,1.0,
91866,Zé Ivaldo,364,REM,3,Zagueiro,6,5.67,0.0,2.51,8,0.0,False,10.0,,3.0,,4.0,,1.0,1.0,3.0,,3.0,3.0,,,1.0,,,,,
95466,Igor Vinícius,277,SAN,2,Lateral,7,10.71,0.03,6.57,15,11.0,True,45.0,,4.0,,15.0,,,5.0,16.0,1.0,2.0,,,,,,,,,
118775,Lautaro Díaz,277,SAN,5,Atacante,6,5.26,0.0,2.28,8,0.0,False,2.0,,,,1.0,,,,2.0,,1.0,4.0,,1.0,,1.0,,,,
87470,Thaciano,277,SAN,4,Meia,6,5.71,-0.11,2.36,14,0.5,True,7.0,3.0,1.0,,7.0,,,,3.0,,1.0,5.0,,2.0,,,,,,
97878,Jacy,294,CFC,3,Zagueiro,7,5.98,-0.41,4.26,21,5.7,True,37.0,1.0,2.0,,19.0,,,4.0,15.0,,,8.0,,1.0,,,,,1.0,
85403,Danielzinho,276,SAO,4,Meia,7,6.04,-0.3,2.57,20,0.5,True,15.0,,1.0,,32.0,,,,15.0,1.0,1.0,4.0,,1.0,,,,1.0,,
89840,Calleri,276,SAO,5,Atacante,6,10.77,-0.27,5.19,21,0.5,True,14.0,7.0,4.0,,39.0,,1.0,,35.0,1.0,7.0,19.0,,7.0,,,,,,
113690,Diógenes,277,SAN,1,Goleiro,6,5.0,0.0,5.55,2,0.0,False,,,1.0,7.0,,2.0,,1.0,,,,,,,,,,,,
104075,Sabino,276,SAO,3,Zagueiro,2,6.57,-0.29,3.74,17,1.4,True,25.0,,1.0,,11.0,,,3.0,24.0,,1.0,2.0,,1.0,,1.0,,,,
80570,Wendell,276,SAO,2,Lateral,2,7.96,0.0,4.04,16,0.0,False,25.0,2.0,4.0,,13.0,,,3.0,32.0,3.0,1.0,4.0,,,,,,,,
106028,Coronel,276,SAO,1,Goleiro,6,5.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
106294,Marcos Antônio,276,SAO,4,Meia,7,6.03,-0.03,2.56,17,2.0,True,16.0,2.0,1.0,,15.0,,,,13.0,2.0,3.0,4.0,,,,,,,,
81845,Alisson,266,FLU,4,Meia,6,3.52,0.0,0.96,8,0.0,False,3.0,,3.0,,5.0,,1.0,,5.0,1.0,1.0,,,,,,,,,
77656,Cédric Soares,276,SAO,2,Lateral,6,3.73,0.0,0.94,8,0.0,False,5.0,,1.0,,,,,,2.0,,,2.0,,,,,,,,
101290,Ferreira,276,SAO,5,Atacante,6,6.31,-0.32,3.72,18,0.0,True,11.0,,2.0,,18.0,,,,6.0,,5.0,9.0,,4.0,,,,,,
91573,Arboleda,276,SAO,3,Zagueiro,2,8.37,0.0,3.77,10,0.0,False,19.0,2.0,1.0,,2.0,,,2.0,6.0,,1.0,,,,,,,,,
70164,Lucas Moura,276,SAO,4,Meia,5,7.5,0.0,2.32,8,0.0,False,,,,,6.0,,,,5.0,1.0,2.0,2.0,,1.0,,,,,,
105300,Ferraresi,263,BOT,3,Zagueiro,7,7.13,0.75,3.16,18,11.1,True,28.0,1.0,4.0,,10.0,,,2.0,19.0,,2.0,3.0,,1.0,1.0,,,,,
113359,Pablo Maia,276,SAO,4,Meia,6,4.16,-1.05,1.86,15,0.5,True,10.0,,2.0,,12.0,,,,22.0,,1.0,8.0,,1.0,,,,,,
142867,Robinho Jr.,277,SAN,5,Atacante,6,2.76,0.0,0.62,4,0.0,False,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,
141868,Vini Lira,277,SAN,2,Lateral,5,3.79,0.0,2.42,4,0.0,False,7.0,,1.0,,,,,,6.0,,1.0,1.0,,,,,,,,
81091,Jair,267,VAS,4,Meia,5,6.37,0.0,3.13,3,0.0,False,6.0,,,,2.0,,,,2.0,,,,,,,,,,,
71123,Thiago Mendes,267,VAS,4,Meia,7,7.32,-0.33,4.18,19,3.2,True,16.0,1.0,8.0,,40.0,,,,15.0,1.0,5.0,6.0,,4.0,,,,,,
118563,Rodriguinho,280,RBB,4,Meia,7,6.29,0.22,3.77,12,6.3,True,15.0,1.0,3.0,,6.0,,,,16.0,,1.0,8.0,,2.0,,1.0,,1.0,,
93716,Paulo Henrique,267,VAS,2,Lateral,7,7.78,0.47,3.29,15,5.2,True,20.0,,4.0,,21.0,,1.0,1.0,16.0,2.0,1.0,3.0,,,,,,,,
86410,Victor Luis,2305,MIR,2,Lateral,6,3.65,0.0,1.2,7,0.0,False,4.0,1.0,2.0,,2.0,,1.0,1.0,7.0,,,2.0,,,,,,,,
86686,Tchê Tchê,267,VAS,4,Meia,7,4.27,0.03,2.17,16,2.7,True,13.0,1.0,2.0,,12.0,,,,13.0,,2.0,6.0,,1.0,,,,,,
140542,Ryan Francisco,276,SAO,5,Atacante,6,4.35,0.0,-0.3,1,0.0,False,,,,,,,,,1.0,,,,,,,,,,,
97095,Carlos Cuesta,267,VAS,3,Zagueiro,7,4.66,-0.6,1.85,12,-1.3,True,8.0,,1.0,,6.0,,1.0,2.0,15.0,1.0,,2.0,,,1.0,1.0,,,1.0,
131617,André Silva,276,SAO,5,Atacante,6,3.22,0.0,0.22,13,0.0,False,1.0,,4.0,,6.0,,,,11.0,,4.0,1.0,,,,,,,,
72391,Fernando Diniz,264,COR,6,Técnico,7,8.98,-0.21,5.64,17,4.37,True,,,,,,,,,,,,,6.0,,,,,,,
63008,Rafael Tolói,276,SAO,3,Zagueiro,6,6.92,0.0,4.1,6,0.0,False,11.0,,3.0,,3.0,,,2.0,8.0,,1.0,1.0,,,,,,,,
141611,Maik,276,SAO,2,Lateral,6,5.52,0.0,3.48,5,0.0,False,8.0,,,,1.0,,,1.0,3.0,,,1.0,,,,,,,,
105584,Lucas Piton,267,VAS,2,Lateral,6,5.1,0.0,2.03,15,0.0,False,14.0,1.0,,,3.0,,,1.0,10.0,,3.0,3.0,,,,,,,,
99213,Puma Rodríguez,267,VAS,2,Lateral,6,7.92,0.0,5.05,14,0.0,False,12.0,1.0,3.0,,1.0,,,1.0,5.0,4.0,6.0,7.0,,2.0,,1.0,,,,
116706,Andrés Gómez,267,VAS,5,Atacante,7,12.06,0.22,7.31,19,5.6,True,34.0,5.0,7.0,,29.0,,,,25.0,2.0,13.0,27.0,,4.0,,3.0,,,,
117818,Young,276,SAO,1,Goleiro,6,3.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
95936,Daniel Fuzato,267,VAS,1,Goleiro,6,2.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
111682,Adson,267,VAS,4,Meia,2,6.59,-0.04,3.83,11,5.2,True,18.0,,,,10.0,,,,5.0,,5.0,7.0,,,,,,,,
107873,Bobadilla,276,SAO,4,Meia,5,8.06,0.0,3.94,16,0.0,False,31.0,1.0,3.0,,6.0,,,,20.0,2.0,6.0,3.0,,,,1.0,,,,
117330,Robert Renan,267,VAS,3,Zagueiro,6,5.79,0.68,2.8,22,6.7,True,31.0,,3.0,,4.0,,,2.0,21.0,,1.0,4.0,,1.0,,,,,,
141609,Lucca,276,SAO,5,Atacante,6,2.05,0.0,0.23,4,0.0,False,1.0,,,,,,,,2.0,,,,,,,,,,,
115141,Lucas Freitas,267,VAS,3,Zagueiro,7,4.77,0.0,2.5,2,0.0,False,,,,,,,,1.0,,,,,,,,,,,,
90703,Matheuzinho,287,VIT,4,Meia,7,5.66,-1.41,3.54,20,1.0,True,12.0,2.0,3.0,,28.0,,,,10.0,1.0,12.0,11.0,,2.0,,,,1.0,,
90309,David,267,VAS,5,Atacante,2,3.89,-0.1,1.89,19,0.0,True,4.0,12.0,,,8.0,,,,12.0,1.0,4.0,6.0,,2.0,,,,,,
99440,Baralhas,287,VIT,4,Meia,5,9.25,0.0,5.24,15,0.0,False,31.0,,4.0,,19.0,,,,26.0,2.0,1.0,9.0,,2.0,,,,,,
118752,Mateus Carvalho,267,VAS,4,Meia,5,4.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
92180,Jair Ventura,287,VIT,6,Técnico,7,8.3,-0.68,5.13,21,3.81,True,,,,,,,,,,,,,7.0,,,,,,,
101597,Ramon,287,VIT,2,Lateral,7,8.07,-0.12,4.81,17,4.4,True,23.0,,4.0,,11.0,,,6.0,26.0,,3.0,5.0,,2.0,,,,,,
142279,Nuno Moreira,267,VAS,4,Meia,6,5.2,0.48,2.06,18,3.9,True,11.0,1.0,3.0,,8.0,,,,12.0,1.0,4.0,7.0,,1.0,,,,,,
90588,Caíque,287,VIT,4,Meia,5,4.64,0.0,2.5,17,0.0,False,26.0,,3.0,,21.0,,1.0,,17.0,,1.0,1.0,,,,,,,,
96793,Camutanga,287,VIT,3,Zagueiro,5,6.71,0.0,3.95,7,0.0,False,8.0,,,,3.0,,,3.0,2.0,,1.0,2.0,,,1.0,,,,,
122485,Barros,267,VAS,4,Meia,6,8.75,0.0,4.7,17,0.0,False,29.0,,4.0,,43.0,,1.0,,30.0,,,10.0,,3.0,,,,,1.0,
104118,Lucas Arcanjo,287,VIT,1,Goleiro,7,9.13,-0.63,5.56,18,4.5,True,,,1.0,64.0,,25.0,1.0,6.0,,,,,,,,,,,,2.0
116461,Jamerson,287,VIT,2,Lateral,6,6.24,0.0,3.74,10,0.0,False,9.0,,1.0,,6.0,,,4.0,2.0,,,3.0,,,,,,,,
111879,Mateus Silva,287,VIT,2,Lateral,6,5.24,0.29,3.9,3,2.0,True,3.0,,,,4.0,,,1.0,2.0,,,1.0,,,,,,,,
92273,Odair Hellmann,293,CAP,6,Técnico,7,9.34,0.32,5.99,22,8.19,True,,,,,,,,,,,,,12.0,,,,,,,
42222,Osvaldo,287,VIT,5,Atacante,6,4.07,0.0,0.4,2,0.0,False,,,,,,,,,,,,1.0,,,,,,,,
92696,Renato Kayzer,287,VIT,5,Atacante,6,6.42,-0.28,3.11,14,1.5,True,7.0,11.0,2.0,,9.0,,,,13.0,1.0,2.0,5.0,,3.0,,,,,,
90031,Mendoza,293,CAP,5,Atacante,7,7.54,-0.68,4.17,22,1.5,True,16.0,3.0,,,13.0,,,,11.0,,5.0,12.0,,5.0,,3.0,,,,
110708,Pedro Rangel,294,CFC,1,Goleiro,5,7.48,0.0,4.67,17,0.0,False,1.0,,1.0,53.0,4.0,22.0,,6.0,,,,,,,,,,,,
104330,Dudu,287,VIT,4,Meia,5,5.01,0.0,3.95,2,0.0,False,,,,,1.0,,,,2.0,,,,,1.0,,,,,,
97645,Thiago Couto,287,VIT,1,Goleiro,6,3.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
107985,Terán,293,CAP,3,Zagueiro,6,6.98,0.0,4.09,13,0.0,False,15.0,,,,7.0,,,5.0,10.0,,3.0,2.0,,,,,,,,
80129,Jadson,293,CAP,4,Meia,7,6.32,0.1,3.86,17,9.9,True,40.0,,5.0,,17.0,,,,21.0,1.0,2.0,1.0,,,,,,,,
110698,Mycael,293,CAP,1,Goleiro,6,7.46,0.0,7.6,1,0.0,False,,,1.0,2.0,,,,1.0,,,,,,,,,,,,
113113,Benavídez,293,CAP,2,Lateral,7,7.15,-0.21,4.7,18,3.5,True,15.0,2.0,5.0,,20.0,,,7.0,15.0,4.0,3.0,4.0,,,,,,,,
85626,Léo,293,CAP,3,Zagueiro,6,6.77,0.0,4.9,2,0.0,False,4.0,,,,,,,1.0,4.0,,,,,,,,,,,
130620,Edenílson,287,VIT,4,Meia,6,3.1,0.0,1.55,9,0.0,False,13.0,,1.0,,1.0,,,,7.0,,,,,,,,,,1.0,
123869,Aguirre,293,CAP,3,Zagueiro,7,6.13,0.61,3.77,19,5.4,True,21.0,1.0,1.0,,5.0,,,7.0,23.0,,5.0,2.0,,,,1.0,,,,
110668,Esquivel,293,CAP,2,Lateral,5,7.9,0.0,4.88,14,0.0,False,19.0,,1.0,,12.0,,,5.0,27.0,3.0,1.0,6.0,,,,,,,1.0,
123101,Leozinho,293,CAP,5,Atacante,7,5.68,-0.06,5.14,11,2.8,True,12.0,,1.0,,8.0,,,,5.0,,3.0,8.0,,3.0,,1.0,,,,
105518,Renan Peixoto,293,CAP,5,Atacante,6,2.51,-0.22,0.75,8,-0.3,True,1.0,1.0,,,4.0,,,,4.0,,,1.0,,,,1.0,,,,
112017,Felipinho,293,CAP,4,Meia,6,4.79,0.0,2.99,8,0.0,False,16.0,,2.0,,1.0,,,,8.0,,,1.0,,,,1.0,,,,
125926,Zapelli,293,CAP,4,Meia,6,4.31,0.0,1.38,14,0.0,False,10.0,,4.0,,7.0,,,,8.0,1.0,1.0,5.0,,,,,,,1.0,
128431,João Cruz,293,CAP,4,Meia,7,7.25,1.94,3.98,17,15.7,True,16.0,2.0,1.0,,8.0,,,,10.0,4.0,7.0,9.0,,1.0,,,,,,
115266,Renan Viana,293,CAP,5,Atacante,6,2.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
120433,Léo Derik,293,CAP,2,Lateral,6,5.81,0.0,3.65,9,0.0,False,11.0,,,,1.0,,,3.0,1.0,,1.0,,,,,,,,,
