atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_SG,scout_DS,scout_FF,scout_FT,scout_FS,scout_FC,scout_G,scout_I,scout_CA,scout_V,scout_DE,scout_FD,scout_GS,scout_GC,scout_A
37457,Léo Condé,REM,Técnico,3.97,True,,,,,,,,,,,,,,,
37656,Fábio,FLU,Goleiro,5.0,True,1.0,,,,,,,,,,,,,,
39148,Hulk,FLU,Atacante,0.8,True,,,1.0,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,,,,
61987,Alex Sandro,FLA,Lateral,-0.3,True,,,,,,1.0,,,,,,,,,
68685,Alan Patrick,INT,Meia,6.8,True,,3.0,2.0,,2.0,1.0,,,,,,,,,
68708,Eduardo,MIR,Meia,0.5,True,,,1.0,,,1.0,,,,,,,,,
69783,Danilo,FLA,Zagueiro,1.5,True,,1.0,,,,,,,,,,,,,
70666,Marllon,REM,Zagueiro,-3.0,True,,,,,,,,,,,,,,1.0,
70944,Bruno Henrique,INT,Meia,0.2,True,,,1.0,,,2.0,,,,,,,,,
71684,Gustavo Gómez,PAL,Zagueiro,5.0,True,1.0,,,,,,,,,,,,,,
72279,Thomazella,MIR,Goleiro,0.3,True,,,,,,,,,,,1.0,,1.0,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,,,
72951,Mercado,INT,Zagueiro,4.0,True,,3.0,,,1.0,,,,1.0,,,,,,
73384,Samuel Xavier,FLU,Lateral,8.9,True,1.0,2.0,,,,1.0,,,,,,1.0,,,
78445,Renê,FLU,Lateral,5.0,True,1.0,,,,,,,,,,,,,,
78850,Reinaldo,MIR,Lateral,7.0,True,,1.0,1.0,,,1.0,,,,,,,,,1.0
80196,Yago Pikachu,REM,Meia,0.0,True,,,,,,,,,,,,,,,
82407,Chico Kim,MIR,Meia,0.0,True,,,,,,,,,,,,,,,
82730,Marcelo Rangel,REM,Goleiro,1.9,True,,,,,,,,,,,3.0,,2.0,,
83433,Patrick,REM,Meia,8.7,True,,5.0,,,3.0,1.0,,,,,,,,,
83528,Léo Pereira,FLA,Zagueiro,1.0,True,,,,,2.0,,,,,,,,,,
84735,Jorginho,FLA,Meia,4.1,True,,3.0,,,1.0,3.0,,,,,,,,,
84816,Varela,FLA,Lateral,-0.3,True,,,,,,1.0,,,,,,,,,
87258,Soteldo,FLU,Atacante,3.0,True,,2.0,,,,,,,,,,,,,
87552,Vitor Bueno,REM,Meia,0.0,True,,,,,,,,,,,,,,,
87863,Arrascaeta,FLA,Meia,1.8,True,,,1.0,,2.0,,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,3.2,True,,,,,,,,,,,,,,,
89274,Andreas Pereira,PAL,Meia,0.5,True,,,,,1.0,,,,,,,,,,
89837,Lucho Acosta,FLU,Meia,0.0,True,,,,,,,,,,,,,,,
90285,Bruno Henrique,FLA,Atacante,6.5,True,,1.0,,,,,,,,,,,,,1.0
90588,Caíque,VIT,Meia,0.0,True,,,,,,,,,,,,,,,
90703,Matheuzinho,VIT,Meia,0.5,True,,,,,1.0,,,,,,,,,,
90917,Carlos Eduardo,MIR,Atacante,1.5,True,,1.0,,,,,,,,,,,,,
91101,Ronaldo,BAH,Goleiro,6.3,True,1.0,,,,,,,,,,1.0,,,,
91473,Erick Pulgar,FLA,Meia,-0.1,True,,1.0,,,,2.0,,,1.0,,,,,,
91866,Zé Ivaldo,REM,Zagueiro,0.2,True,,1.0,,,,1.0,,,1.0,,,,,,
92180,Jair Ventura,VIT,Técnico,3.49,True,,,,,,,,,,,,,,,
92182,Juninho,INT,Zagueiro,0.0,True,,,,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,,,,
93790,Marlon Freitas,PAL,Meia,-1.3,True,,,,,,1.0,,,1.0,,,,,,
94583,Pedro,FLA,Atacante,1.9,True,,,,,2.0,1.0,,,,,,1.0,,,
95131,Gabriel Taliari,REM,Atacante,2.8,True,,,2.0,,3.0,1.0,,,,,,,,,
95541,Gustavo Cazonatti,MIR,Meia,0.0,True,,,,,,,,,,,,,,,
96870,Emerson Royal,FLA,Lateral,1.5,True,,1.0,,,,,,,,,,,,,
97341,Rogério Ceni,BAH,Técnico,3.48,True,,,,,,,,,,,,,,,
97450,Gustavo Mosquito,MIR,Atacante,3.1,True,,1.0,,,1.0,,,1.0,,,,1.0,,,
97460,João Victor,MIR,Zagueiro,12.5,True,,3.0,,,,,1.0,,,,,,,,
97520,Shaylon,MIR,Meia,1.5,True,,1.0,,,,,,,,,,,,,
97642,Félix Torres,INT,Zagueiro,1.2,True,,1.0,,,,1.0,,,,,,,,,
97653,Murilo,PAL,Zagueiro,4.6,True,1.0,,,,,1.0,,1.0,,,,,,,
97795,Marcelinho,REM,Lateral,2.6,True,,,2.0,,2.0,,,,,,,,,,
97899,Matheus Bahia,INT,Lateral,4.2,True,,3.0,,,,1.0,,,,,,,,,
97900,Vitão,FLA,Zagueiro,-0.1,True,,1.0,,,,2.0,,,1.0,,,,,,
98517,Jean Lucas,BAH,Meia,0.0,True,,,,,,,,,,,,,,,
98617,Maripán,INT,Zagueiro,2.4,True,,1.0,,,,1.0,,,,,,1.0,,,
98873,Samuel Lino,FLA,Atacante,10.2,True,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,
99228,De la Cruz,FLA,Meia,-1.3,True,,,,,,1.0,,,1.0,,,,,,
99274,Alexander Barboza,PAL,Zagueiro,4.7,True,1.0,,,,,1.0,,,,,,,,,
99366,Luis Zubeldía,FLU,Técnico,3.11,True,,,,,,,,,,,,,,,
99440,Baralhas,VIT,Meia,5.2,True,,3.0,,,2.0,1.0,,,,,,,,,
99552,Rossi,FLA,Goleiro,4.2,True,,,,,,,,,,,4.0,,1.0,,
99815,Arias,PAL,Meia,0.5,True,,,,,1.0,,,,,,,,,,
